iter	Passed	Remaining
550	10022	8167
551	10041	8149
552	10063	8134
553	10081	8116
554	10100	8098
555	10114	8077
556	10132	8058
557	10149	8039
558	10167	8021
559	10184	8001
560	10201	7982
561	10218	7963
562	10233	7942
563	10253	7926
564	10272	7909
565	10291	7891
566	10310	7873
567	10329	7856
568	10348	7838
569	10367	7821
570	10386	7803
571	10404	7785
572	10425	7769
573	10442	7750
574	10460	7731
575	10478	7713
576	10496	7694
577	10514	7676
578	10532	7658
579	10550	7640
580	10567	7621
581	10585	7602
582	10603	7584
583	10629	7571
584	10647	7553
585	10664	7534
586	10685	7517
587	10703	7499
588	10721	7481
589	10738	7462
590	10756	7443
591	10773	7424
592	10790	7406
593	10810	7388
594	10830	7371
595	10846	7352
596	10865	7334
597	10883	7316
598	10900	7297
599	10917	7278
600	10934	7259
601	10951	7240
602	10968	7221
603	10985	7202
604	11006	7185
605	11024	7168
606	11042	7149
607	11058	7129
608	11076	7111
609	11093	7092
610	11110	7073
611	11127	7054
612	11144	7035
613	11160	7015
614	11178	6997
615	11197	6980
616	11215	6962
617	11232	6942
618	11248	6923
619	11266	6905
620	11284	6887
621	11301	6868
622	11320	6850
623	11341	6833
624	11358	6815
625	11379	6798
626	11395	6779
627	11411	6759
628	11428	6740
629	11444	6721
630	11460	6702
631	11478	6683
632	11495	6664
633	11511	6645
634	11527	6626
635	11543	6606
636	11563	6589
637	11582	6571
638	11600	6553
639	11614	6533
640	11631	6514
641	11648	6495
642	11665	6476
643	11681	6457
644	11698	6438
645	11715	6419
646	11731	6400
647	11751	6383
648	11769	6365
649	11786	6346
650	11803	6327
651	11819	6308
652	11835	6289
653	11852	6270
654	11869	6251
655	11886	6233
656	11904	6214
657	11924	6197
658	11943	6180
659	11964	6163
660	11984	6146
661	12007	6130
662	12030	6115
663	12053	6099
664	12075	6082
665	12093	6065
666	12115	6048
667	12135	6031
668	12152	6012
669	12167	5992
670	12183	5973
671	12200	5954
672	12216	5935
673	12233	5917
674	12250	5898
675	12267	5879
676	12284	5861
677	12303	5843
678	12322	5825
679	12340	5807
680	12356	5788
681	12374	5769
682	12390	5750
683	12407	5731
684	12424	5713
685	12444	5696
686	12461	5677
687	12478	5658
688	12496	5640
689	12513	5622
690	12531	5603
691	12547	5584
692	12565	5566
693	12583	5548
694	12600	5529
695	12615	5510
696	12631	5491
697	12646	5471
698	12661	5452
699	12677	5433
700	12696	5415
701	12711	5396
702	12725	5376
703	12742	5357
704	12758	5338
705	12771	5318
706	12788	5299
707	12804	5280
708	12820	5261
709	12837	5243
710	12855	5225
711	12874	5207
712	12890	5188
713	12906	5170
714	12923	5151
715	12939	5132
716	12955	5113
717	12971	5094
718	12988	5076
719	13005	5057
720	13020	5038
721	13037	5019
722	13057	5002
723	13074	4984
724	13090	4965
725	13105	4946
726	13121	4927
727	13137	4908
728	13153	4889
729	13169	4870
730	13185	4852
731	13201	4833
732	13217	4814
733	13235	4796
734	13253	4778
735	13270	4760
736	13288	4742
737	13305	4723
738	13322	4705
739	13340	4687
740	13357	4668
741	13372	4649
742	13389	4631
743	13405	4612
744	13423	4594
745	13440	4576
746	13457	4557
747	13474	4539
748	13490	4520
749	13508	4502
750	13525	4484
751	13543	4466
752	13561	4448
753	13578	4430
754	13595	4411
755	13615	4394
756	13632	4375
757	13647	4357
758	13664	4338
759	13681	4320
760	13700	4302
761	13724	4286
762	13744	4269
763	13765	4252
764	13786	4235
765	13805	4217
766	13825	4199
767	13841	4181
768	13859	4163
769	13878	4145
770	13894	4126
771	13912	4108
772	13932	4091
773	13950	4073
774	13966	4054
775	13987	4037
776	14004	4019
777	14021	4000
778	14037	3982
779	14055	3964
780	14071	3945
781	14086	3926
782	14102	3908
783	14118	3889
784	14134	3871
785	14150	3852
786	14171	3835
787	14186	3816
788	14204	3798
789	14222	3780
790	14239	3762
791	14256	3744
792	14273	3725
793	14293	3708
794	14310	3690
795	14327	3671
796	14345	3653
797	14365	3636
798	14384	3618
799	14400	3600
800	14417	3581
801	14433	3563
802	14447	3544
803	14462	3525
804	14477	3506
805	14493	3488
806	14512	3470
807	14529	3452
808	14551	3435
809	14567	3417
810	14584	3398
811	14600	3380
812	14617	3362
813	14630	3343
814	14647	3324
815	14663	3306
816	14680	3288
817	14695	3269
818	14711	3251
819	14729	3233
820	14746	3215
821	14762	3196
822	14776	3177
823	14793	3159
824	14810	3141
825	14827	3123
826	14842	3104
827	14859	3086
828	14877	3068
829	14893	3050
830	14912	3032
831	14929	3014
832	14946	2996
833	14963	2978
834	14980	2960
835	14997	2942
836	15018	2924
837	15032	2906
838	15048	2887
839	15066	2869
840	15088	2852
841	15106	2834
842	15124	2816
843	15142	2798
844	15159	2780
845	15175	2762
846	15192	2744
847	15209	2726
848	15226	2708
849	15246	2690
850	15264	2672
851	15286	2655
852	15302	2637
853	15321	2619
854	15339	2601
855	15359	2583
856	15376	2565
857	15393	2547
858	15410	2529
859	15427	2511
860	15444	2493
861	15462	2475
862	15479	2457
863	15498	2439
864	15518	2421
865	15536	2403
866	15555	2386
867	15573	2368
868	15593	2350
869	15611	2332
870	15629	2314
871	15651	2297
872	15669	2279
873	15686	2261
874	15705	2243
875	15723	2225
